Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
25-JAN-2019,10859.75,10931.7,10756.45,10780.55,463444758,20542.36
24-JAN-2019,10844.05,10866.6,10798.65,10849.8,361082096,15298.48
23-JAN-2019,10931.05,10944.8,10811.95,10831.5,298876314,14736.91
22-JAN-2019,10949.8,10949.8,10864.15,10922.75,300768112,17483.62
21-JAN-2019,10919.35,10987.45,10885.75,10961.85,288829125,17289.7
18-JAN-2019,10914.85,10928.2,10852.2,10906.95,323814108,16408.83
17-JAN-2019,10920.85,10930.65,10844.65,10905.2,271676319,13215.83
16-JAN-2019,10899.65,10928.15,10876.9,10890.3,276539042,13081.63
15-JAN-2019,10777.55,10896.95,10777.55,10886.8,310737078,14879.91
14-JAN-2019,10807,10808,10692.35,10737.6,298774178,12732.57
11-JAN-2019,10834.75,10850.15,10739.4,10794.95,260792200,13084.6
10-JAN-2019,10859.35,10859.35,10801.8,10821.6,254365477,12031.26
09-JAN-2019,10862.4,10870.4,10749.4,10855.15,333010535,16213.3
08-JAN-2019,10786.25,10818.45,10733.25,10802.15,277697672,13433.48
07-JAN-2019,10804.85,10835.95,10750.15,10771.8,269371080,12731.29
04-JAN-2019,10699.7,10741.05,10628.65,10727.35,296596655,14516.74
03-JAN-2019,10796.8,10814.05,10661.25,10672.25,286241745,15030.45
02-JAN-2019,10868.85,10895.35,10735.05,10792.5,309665939,15352.25
01-JAN-2019,10881.7,10923.6,10807.1,10910.1,159404542,8688.26
31-DEC-2020,13970,14024.85,13936.45,13981.75,452410109,26305.82
30-DEC-2020,13980.9,13997,13864.95,13981.95,380681073,24633.12
29-DEC-2020,13910.35,13967.6,13859.9,13932.6,439593961,25154.23
28-DEC-2020,13815.15,13885.3,13811.55,13873.2,403634030,20923.06
24-DEC-2020,13672.15,13771.75,13626.9,13749.25,471367730,24764.35
23-DEC-2020,13473.5,13619.45,13432.2,13601.1,458651819,27073.45
22-DEC-2020,13373.65,13492.05,13192.9,13466.3,696197300,36328.33
21-DEC-2020,13741.9,13777.5,13131.45,13328.4,687255400,38243.62
18-DEC-2020,13764.4,13772.85,13658.6,13760.55,519393189,34803.3
17-DEC-2020,13713.55,13773.25,13673.55,13740.7,416008520,27712.93
16-DEC-2020,13663.1,13692.35,13606.45,13682.7,462151091,27460.18
15-DEC-2020,13547.2,13589.65,13447.05,13567.85,497600393,30828.33
14-DEC-2020,13571.45,13597.5,13472.45,13558.15,558390043,28133.58
11-DEC-2020,13512.3,13579.35,13402.85,13513.85,787707481,33696.57
10-DEC-2020,13488.5,13503.55,13399.3,13478.3,553402501,30400.2
09-DEC-2020,13458.1,13548.9,13449.6,13529.1,502605319,28726.97
08-DEC-2020,13393.85,13435.45,13311.05,13392.95,543165361,33755.81
07-DEC-2020,13264.85,13366.65,13241.95,13355.75,591722966,33578.64
04-DEC-2020,13177.4,13280.05,13152.85,13258.55,640514315,36428.05
03-DEC-2020,13215.3,13216.6,13107.9,13133.9,713688035,39627.71
02-DEC-2020,13121.4,13128.5,12983.55,13113.75,717711761,34008.74
01-DEC-2020,13062.2,13128.4,12962.8,13109.05,583633902,32917.26
27-NOV-2020,13012.05,13035.3,12914.3,12968.95,1162360673,78522.93
26-NOV-2020,12906.45,13018,12790.4,12987,549798925,34624.15
25-NOV-2020,13130,13145.85,12833.65,12858.4,679005507,37401.36
24-NOV-2020,13002.6,13079.1,12978,13055.15,571864976,37094.23
23-NOV-2020,12960.3,12968.85,12825.7,12926.45,633117401,42031.38
20-NOV-2020,12813.4,12892.45,12730.25,12859.05,663997267,42992.15
19-NOV-2020,12839.5,12963,12745.75,12771.7,768751782,44747.08
18-NOV-2020,12860.1,12948.85,12819.35,12938.25,731321438,39856.45
17-NOV-2020,12932.5,12934.05,12797.1,12874.2,707676873,40977.03
14-NOV-2020,12823.35,12828.7,12749.45,12780.25,107868139,5189.38
13-NOV-2020,12659.7,12735.95,12607.7,12719.95,513948665,34568.65
12-NOV-2020,12702.15,12741.15,12624.85,12690.8,622017762,36794.24
11-NOV-2020,12680.6,12769.75,12571.1,12749.15,880475468,54744.55
10-NOV-2020,12556.4,12643.9,12475.25,12631.1,847450692,51247.01
09-NOV-2020,12399.4,12474.05,12367.35,12461.05,553449924,34255.11
06-NOV-2020,12156.65,12280.4,12131.85,12263.55,576837602,34965.94
05-NOV-2020,12062.4,12131.1,12027.6,12120.3,632455414,32311.46
04-NOV-2020,11783.35,11929.65,11756.4,11908.5,667290347,38552.09
03-NOV-2020,11734.45,11836.2,11723.3,11813.5,674303605,36363.95
02-NOV-2020,11697.35,11725.65,11557.4,11669.15,568434165,35714.57
30-OCT-2020,11678.45,11748.95,11535.45,11642.4,553672805,28151.58
29-OCT-2020,11633.3,11744.15,11606.45,11670.8,554959844,30436.62
28-OCT-2020,11922.6,11929.4,11684.85,11729.6,704018608,37025.89
27-OCT-2020,11807.1,11899.05,11723,11889.4,616318543,37989.97
26-OCT-2020,11937.4,11942.85,11711.7,11767.75,519815905,29316.02
23-OCT-2020,11957.9,11974.55,11908.75,11930.35,502340361,27424.61
22-OCT-2020,11890,11939.55,11823.45,11896.45,544901152,33013.17
21-OCT-2020,11958.55,12018.65,11775.75,11937.65,623658140,37477.13
20-OCT-2020,11861,11949.25,11837.25,11896.8,453560934,28367.34
19-OCT-2020,11879.2,11898.25,11820.4,11873.05,541420990,29888.6
16-OCT-2020,11727.4,11789.75,11667.85,11762.45,555764762,30439.19
15-OCT-2020,12023.45,12025.45,11661.3,11680.35,608865041,35175.92
14-OCT-2020,11917.4,11997.2,11822.15,11971.05,569245407,29940.62
13-OCT-2020,11934.65,11988.2,11888.9,11934.5,458304851,29403.22
12-OCT-2020,11973.55,12022.05,11867.2,11930.95,522627571,26586.47
09-OCT-2020,11852.05,11938.6,11805.2,11914.2,611079482,34546.8
08-OCT-2020,11835.4,11905.7,11791.15,11834.6,608768573,38677.49
07-OCT-2020,11679.25,11763.05,11629.35,11738.85,513367516,32935.98
06-OCT-2020,11603.45,11680.3,11564.3,11662.4,561444728,30373.65
05-OCT-2020,11487.8,11578.05,11452.3,11503.35,530597393,31341.55
01-OCT-2020,11364.45,11428.6,11347.05,11416.95,447740006,26212.72
30-SEP-2020,11244.45,11295.4,11184.55,11247.55,499343849,28134.77
29-SEP-2020,11288.6,11305.4,11181,11222.4,498295735,26875.14
28-SEP-2020,11140.85,11239.35,11099.85,11227.55,472777324,24361.17
25-SEP-2020,10910.4,11072.6,10854.85,11050.25,559597322,31122.18
24-SEP-2020,11011,11015.3,10790.2,10805.55,706139506,33623.71
23-SEP-2020,11258.75,11259.55,11024.4,11131.85,714925847,35542.98
22-SEP-2020,11301.75,11302.2,11084.65,11153.65,672249921,36296.49
21-SEP-2020,11503.8,11535.25,11218.5,11250.55,602851737,37213.23
18-SEP-2020,11584.1,11584.1,11446.1,11504.95,764154094,48698.68
17-SEP-2020,11539.4,11587.2,11498.5,11516.1,517729494,29674.95
16-SEP-2020,11538.45,11618.1,11516.75,11604.55,527804775,27629.71
15-SEP-2020,11487.2,11535.95,11442.25,11521.8,506667239,28054.51
14-SEP-2020,11540.15,11568.9,11383.55,11440.05,642270123,33996.94
11-SEP-2020,11447.8,11493.5,11419.9,11464.45,554789157,29614.09
10-SEP-2020,11363.3,11464.05,11327.4,11449.25,679419973,39239.1
